it-codigo;Custo
1000400144;4,24
2020400064;1,53
2020400074;2,27
1000400058;4,24
2020400057;1,37
1000100164;5,55
1000400146;8,69
1000400194;3,19
80.0191.00010;1002,56
1000400083;5,83
1000400202;4,31
2020100077;293,00
80.0487.00019;37,74
80.0813.00002;272,00
80.0049.00204;1522,80
2020400063;1,66
1000400203;11,00
80.0049.00203;1486,76
80.0049.00201;1820,00
80.0191.00049;1500,00
80.0813.00007;200,00
80.0071.00023;22,36
80.0071.00022;22,12
1515500052;26,45
1000400114;5,70
80.0049.00210;1260,00
1000400124;7,54
70.0499.00593;9,00
70.0131.00796;5,88
15.0071.00001;1,57
3030100029;9,50
2020400102;680,00
1000400218;5,80
70.0131.00795;31,55
70.0131.00837;4,05
70.0131.00798;2,20
70.0131.00800;15,42
70.0131.00788;23,45
70.0131.00807;3,83
70.0131.00808;2,66
70.0191.00346;953,00
70.0191.00372;953,00
1000400135;4,97
1212400017;5,07
15.0015.00009;3,07
2020600284;42,81
2020600286;40,00
2020600287;32,00
1000400198;5,18
70.0131.00809;17,79
70.0195.00150;270,00
70.0071.00011;25,00
1000400188;6,06
70.0565.00082;100,00
9999900019;471,88
70.0195.00512;125,00
70.0195.00648;345,00
70.0195.00640;440,00
2020600295;18,00
2020600296;16,00
2020600297;50,00
70.0195.00753;440,00
70.0195.00728;314,29
70.0195.00779;160,00
70.0195.00952;110,00
70.0195.00935;210,00
70.0195.00770;400,00
80.0195.00023;560,00
80.0195.00026;320,00
9992200004;313,26
15.0015.00045;241,21
80.0195.00035;385,00
80.0195.00036;385,00
70.0195.00918;151,82
70.0195.01097;135,00
70.0195.00929;79,00
70.0195.00516;25,00
70.0195.01076;50,00
70.0195.00933;21,80
70.0195.01079;21,80
15.0015.00046;2575,00
70.0195.01065;130,71
70.0195.01252;176,36
70.0195.00780;34,00
70.0195.01081;180,00
70.0195.01258;120,00
70.0195.01184;113,27
70.0195.01161;180,00
70.0195.01255;260,00
70.0487.00252;16,80
70.0487.00253;16,85
70.0487.00254;16,90
1000400217;4,53
15.0195.00220;35,16
70.0195.01183;170,00
70.0195.01172;360,00
70.0195.00651;277,00
15.0195.00235;45,00
15.0135.00001;57,93
15.0135.00002;11,14
15.0135.00006;3,51
70.0195.01730;219,00
70.0195.01732;190,00
15.0135.00003;116,44
15.0135.00005;32,82
70.0573.00022;40,00
70.0573.00025;40,00
70.0573.00028;40,00
70.0573.00031;40,00
70.0573.00034;40,00
70.0573.00037;40,00
70.0573.00041;90,00
70.0573.00045;60,00
70.0573.00049;40,00
70.0573.00053;40,00
15.0015.00041;1430,00
70.0195.01863;240,00
15.0135.00007;75,12
15.0135.00004;11,05
70.0131.00827;17,59
70.0131.00826;7,72
70.0131.00825;3,99
70.0131.00824;6,15
70.0131.00823;3,95
70.0131.00822;54,32
70.0131.00821;4,72
70.0131.00820;3,80
70.0195.01764;330,00
15.0131.00035;0,75
15.0131.00046;1,11
70.0195.01728;245,00
15.0195.00259;1304,73
70.0195.02210;240,00
70.0195.02188;446,10
70.0195.02193;400,00
70.0195.02171;400,00
70.0131.00811;7,00
15.0131.00070;14,25
15.0131.00068;25,20
15.0131.00067;27,00
15.0131.00069;34,00
70.0067.00033;3,30
70.0131.00828;10,00
15.0131.00077;2,27
70.0195.02437;125,00
1000400216;2,95
70.0195.02705;130,00
70.0195.00778;75,63
80.0545.00002;2830,00
70.0195.02695;180,00
15.0191.00002;62,18
15.0191.00001;15,38
15.0191.00012;10,77
15.0191.00009;16,03
70.0191.00304;75,95
